,meis1,rad51,gfi1b,spi1,hcfc1,mef2c,ikzf1,jun,irf1,myc,hdac2,stat3,notch1,fos,satb1,esr1,nfat5,ebf1,gata2,gfi1,ets1,cbx7,cbfb,foxo1,nr4a1,bmi1,irf8,elf4,bach2,bhlhe40,pou2af1,junb,nr1h3,stat6,tcf7,smad4,stat1,bcl11b,egr2,stat2,elf1,ctsg,elane,mpo,mpl,ccl9,dusp1,tyrobp,clec12a,ltb,ly6a,rgs1,igkc,procr,rab44,pdzk1ip1,sell,esam,f630028o10rik,myl10,maged1,trim47,cd48,tbxas1,bc035044,neurl3,cst7,hacd4,ms4a3,rtp4,pglyrp2,hk3,ifi44,nkg7,mmrn1,atp8b4,msmo1,gimap5,serpina3g,slc18a2,anxa3,nceh1,dennd2d,pcp4l1,gimap1,laptm4b,pqlc3,rhof,pear1,il21r,ly6c2,ldhb,ms4a6b,rab32,ap3s1,gbp2,padi4,myo1f,casp1,ctsl,alas1,itih5,emilin1,zfp386,tcp11l2,cish,vill,ppp1r15a,afap1l1,smpdl3a,tcn2,oasl2,fes,lbp,adgrg3,mfge8,glipr2,igtp,2610035d17rik,fut7,csgalnact2,orai3,cd79b,mapkapk3,sigirr,tgm2,csf2rb,osbpl1a,tnfrsf21,ms4a6c,adssl1,anxa2,dennd1c,krt18,ighm,slc35b4,camk1,1110059e24rik,snx4,glb1
meis1,1.0,0.011280918263469457,0.05402127966596528,-0.046404083748902335,0.05063590974572869,0.08338367175351845,-0.014989509290984466,-0.04767754302131491,-0.00015138885346183082,0.010562670181433456,0.024025592562709756,0.0076936386273273065,-0.005349074603871105,-0.0349218382868904,-0.012110802567592414,-0.020952637688712087,0.003975149261783957,0.005178045571076659,0.11232173303115785,-0.07802536934366468,-0.024846461252687458,0.0005323161692594345,0.015433336418491357,0.038491085080815286,-0.0027863095422201115,0.005823982649818992,-0.04492826200946246,-0.00558544496522814,-0.007689912623783256,-0.009247979391035136,0.017504603554402143,-0.013741060656900655,0.01156303598601369,0.005179510105827113,-0.010954661503718533,0.021232975575009444,0.023023915882531932,-0.00793213651907737,-0.003921193836693528,-0.02941778516192382,0.03738776447701879,-0.11333435237480842,-0.14917149237652783,-0.13134543675353186,0.09713661171834378,-0.10503785499919888,-0.009503411680483199,-0.07659826122623177,-0.054950265710203,-0.013925890414926555,0.02829176995505872,0.028135532704750096,,-0.0011299724458536387,-0.014535551036469349,0.024592955638982533,-0.11056505534439122,0.057786196440330444,-0.09781910316549307,0.008100522740766954,0.0188347472733311,0.05353753753202109,0.0027964762196251423,0.03219137746321091,-0.021612470693482544,0.04205519850552977,-0.0024559615830812708,-0.023153344944909768,-0.10833972444673828,0.03373295289014918,0.050567582557623496,-0.08003449839225929,0.05446188152712761,0.01768799648529323,0.014820880804498733,-0.011658791302355042,0.059433698559548824,0.02611140483114853,0.08511186396593937,0.133660369795929,-0.11445262483438744,-0.006223735292111747,-0.006133330104216088,6.929008497209567e-05,0.046623726659355935,0.005754442863629246,-0.007684108406055445,0.01789849726578855,0.05666354014388433,0.027925891621633465,-0.0706194100701809,0.005538098387458371,-0.012178633177468853,-0.03235551330552182,-0.1396317395375242,-0.007063059656050141,-0.02435596665671407,-0.07281645687999797,0.007021576870738254,-0.03331689226076336,-0.05724361753230086,0.013879899733618221,0.033713806586302804,0.002314025612598622,0.01760355494809261,0.034532259355386785,-0.005146103986193557,0.0031402139702192727,0.019824994786646517,-0.029893072120690263,-0.02948268604917898,0.0005240419865066712,-0.02526336466107151,-0.016385682880307954,-0.04709416702502052,0.01778405755067269,-0.017595566158647206,0.02224511061237873,-0.013119474793967254,-0.004501113340283162,-0.013886820682238706,0.02468850741540823,-0.013380643583829843,-0.02614013649412738,0.006513726318820267,0.016036431253193314,-0.01348870431760476,0.0138047534771324,-0.011033586725123997,-0.04635805391341424,-0.08518667874843677,-0.0964637512069543,-0.030980751593210343,0.03210596879472566,-0.016270578185010265,0.02222191819699108,-0.011661710165441609,0.036668307871569265,-0.01625841915541386,-0.011385947278469212
rad51,0.011280918263469457,1.0,0.011247284151604387,0.04068323521564812,0.0511521005010533,0.020813791122064496,0.019535038069676252,0.021250124399954707,0.02709757256006693,0.0456752565145398,0.08504254881424163,-0.0051438190049279,8.952855627699387e-06,0.010955769539718229,0.012111745052453075,0.00012192766224863242,0.019832442818278583,-0.011045266027018096,-0.02807824469185584,0.06485731854297132,-0.014249941886732365,-0.007813291990305867,0.061052344859599324,0.012805272565298235,-0.0013868765401485652,0.00679943175350959,0.018088376278308064,0.013269149328291185,0.019069268242620875,-0.022193625810222124,-0.007808049063972727,0.021418081408987114,-0.009016779496136527,0.004600429638201279,-0.010155959409630613,0.021647540645681206,-0.0032687106359179843,-0.007808049063972727,-0.016268561848932862,-0.011163486899422688,0.052142174062052904,0.07475984309238265,0.04599154275987847,0.05500531861154716,0.003198711567261989,-0.016258931310110473,0.019732290181038226,-0.0348064880937413,-0.0007103886842033919,-0.010838044208026216,-0.030701881846715424,0.006302699661646659,,0.005452692442893247,0.03036529619073816,0.012715033429468944,0.023569067210587772,-0.00973359326307654,0.029897021818162818,0.014399637587255876,-0.0036259935977921392,-0.02493013344761489,0.028353717640096195,0.025667545026289092,0.044984927652148336,0.020203947070218647,0.002015130090786737,-0.03903500422601191,0.07073633628990322,0.009100375867597557,0.019854576258801323,0.020274646433982087,0.020302033637176423,0.028239216075103105,0.0003301239091653603,0.018830046500139586,0.012698538483069151,0.001416513558906517,0.01562509401866825,-0.018065079521686164,0.06140131425771436,-0.006605348355434739,0.0015140095687018096,-0.00027265373040294866,0.02295642253476123,0.043637041907322725,-0.005559010589038842,0.023757549409635335,0.026118922930588113,0.030301526670193226,0.00987905265904209,0.005051781220629269,0.005608937239078145,0.002207807568881023,0.05424034034002943,-0.016176483583698567,0.04022944753917932,-0.0031675363109307567,-0.001095306977367476,-0.0026761681337473934,0.028770898780863648,0.033629134467559024,0.02554587394880553,0.025338242350477453,-0.00707180034349848,-0.010451312683719302,0.004506369487091837,0.02821408186155544,0.03844235253288271,0.00792228631730435,0.008357102917400551,0.002745125497621735,0.018383634126542585,0.006182906459346813,0.027047417055367784,-0.02121062297685239,0.01680417941839638,0.017071658305899993,0.0027323777546409194,0.023333577344775404,0.04658838628253562,0.011035911461641687,0.02366271214102129,0.0590762030444374,0.02141409483146499,0.0059466359043060186,-0.04089826435204641,0.053178944014303245,0.04245170394755795,-0.01470147571416713,0.018458152954431553,-0.04482870359057109,0.003944633604877105,-0.018640020775689693,0.011532177144629297,0.020163768710994,0.04134670448991863,0.05369590101956669,0.04217810976896577,-0.014506343656525212
gfi1b,0.05402127966596528,0.011247284151604389,1.0,-0.01828717023216061,0.010944021699100857,0.030638309562574528,0.024756259050848033,-0.004941258622860588,-0.0003779068132804686,-0.02321858823294825,0.012359666127690797,0.014895016036929463,-0.009726306406946912,-0.025133934963994475,0.009591653288876944,-0.013269156570175206,0.018403110537064213,-0.004814573513375991,0.07756216948886269,-0.049276901496802444,0.00132897316314752,-0.010421541553434308,0.017647178142334602,0.014003458812515523,0.02247311340940848,-0.002690661599622796,-0.002639157825826,-0.0011932977696835435,0.02551854800325526,0.008705427353330533,0.050147103012133855,0.0009827777130000839,-0.003930366876801303,-0.007884437264220025,0.005130017642792549,0.031046241577677238,0.0033155463337748927,-0.003403487622895414,-0.007091380758688447,0.003183981194067861,0.03687465707761622,-0.045490776747954965,-0.0655318951637054,-0.06590042434152,0.047490232116262424,-0.045831170672662125,-0.01996179708243517,-0.032452263005185174,-0.026223781220108107,-0.0005273325560748577,0.01353485367386169,0.02278259723583955,,0.025643690129091984,0.025167470236786973,0.035993373234314285,-0.057853278109642525,0.03729020835925966,-0.04100637613040633,0.014384350940369807,0.010161712300107305,0.06756457766926673,0.02345827082650887,0.038445464105930256,-0.014925093049701141,0.03814706287849255,-0.003023844199783971,0.011496886729988763,-0.054738473280351294,-0.004952184890317462,0.0022015515494220542,-0.052954150539036016,-0.014085242584192683,0.03583837695070594,-0.005898235684541111,-0.018767247334120548,0.03537514160966768,0.014379147790288574,0.07241210007131542,0.11055725923666875,-0.04889882813207271,-0.02617250640785919,0.0033455998801062425,0.021312172600117592,-0.006457431658933238,-0.008426778022349684,-0.006288424993509748,0.005630167486722106,0.020467026631075434,0.0073899518609484,-0.039658345542136805,0.0025974606317034016,-0.02423039914364193,-0.029794126797944683,-0.0649817295535219,-0.010062398284380141,0.0036058010995726375,-0.04114702810131289,-0.0011977502860925488,-0.019566434198636375,-0.01872302225768769,-0.005043521316039663,0.014750493820813584,0.0235718755127219,0.0069484829133718345,0.0322715791256346,-0.009844737620352225,-0.0033095980683434914,0.0005069841713022569,-0.013835020441203561,-0.03829054158595047,0.008685593430661963,0.014885350054055696,-0.015346164739724766,-0.00643988486935922,-0.010615925019092032,0.011252918420719784,-0.0032716533956749045,-0.011825543887127511,-0.002024356991690367,-0.006411174862477607,3.591539106069125e-06,0.009405943178354323,-0.018431604412948825,-0.004899978132013956,0.014939677152077238,0.006822999261673336,0.005129589440647705,-0.01008877550366632,-0.03161509291682577,-0.04825969375544438,-0.039717523503663345,0.001953704129147119,0.020221956956461725,0.005648921651896616,0.01160526187440827,-0.004580374026719409,0.02701443413383037,0.002342131118209513,-0.0017069693858866614
spi1,-0.046404083748902335,0.04068323521564813,-0.01828717023216061,0.9999999999999998,0.004206916297629102,0.014295680162467935,0.04864667037873587,0.09032576536739714,0.03793116522755834,-0.007729451663714344,0.0050756008657222495,0.0335986349182401,0.02170315484882388,0.0276038476622563,0.008419707477077681,0.025079042954036068,0.02186019007114836,-0.0024591031974178913,-0.09559864490347007,0.08887327219493799,-0.0012666875979896143,0.028105090137072446,0.019852662217064523,-0.006820166327999487,-0.021958933403257212,-0.0005961734511719247,0.08524401672686428,0.03294749851900314,0.01316802447896747,0.044468951207452055,-0.010594836805382523,0.023432073385749166,0.004431335069949337,0.06168887392605148,-0.0006553789612625142,0.025352057223109317,0.024071281486590615,0.010363133143324774,0.03774549242137819,0.04999206863143457,0.011129778448785476,0.07777932222188827,0.10191944295515445,0.08111147189674162,-0.04117388401410335,0.05257130113619726,0.0645493840765159,0.08855875942391332,0.07259320472265568,0.01799601437260881,0.055891840011084264,-0.028167231224343642,,0.06167748962656396,0.018994491159094972,-0.002340411511739183,0.11878621043935547,-0.0180064904446877,0.08773964388422179,-0.006095315462431507,0.04412382799209195,-0.014839644774107458,0.04414649673550798,0.003496716948828747,0.06911218953861487,-0.015782718400375657,0.04350572761452557,0.06277506900627468,0.10783087517902215,0.024443782874786026,0.009435760327739325,0.07856084796538682,0.014038935522604268,-0.010043620967984137,-0.018360826141108316,0.013531693898281535,0.023252738374551534,-0.011959514520741404,-0.028938090205740914,-0.07414702014070443,0.08045578381757441,0.03548577608291513,0.02544447170186695,0.010356937990770854,-0.008131130792396298,0.028644111468135856,0.042680296345533095,0.015900758599625774,-0.012153176937497883,0.017801375721214065,0.0753037202968581,0.014209397039024714,0.0740511802543764,0.0732977728089089,0.07788019589463406,0.017263948280041488,-0.0077575693399214544,0.11228790437129718,0.008045150015457674,0.07259332761047203,0.07457716261992828,-0.01783914004110987,0.037282423503079844,0.013765126478597501,0.026571267942357986,0.003472796877877823,0.008720309881573834,0.016894380993630984,-0.007741522855074622,0.04153748414420428,0.04815435728982118,0.05966816745677056,0.08904765058220869,0.032190385190949224,0.04587709135875923,0.009152045436138982,0.07911035637312185,0.019494089995744604,0.015209691827596794,0.035450641658345404,0.025962128862080592,0.031653059909458214,-0.0004887682124114383,0.05149270501263733,0.024432029498410602,0.004421285080909562,0.04253388511524922,0.013771958321659613,0.05630063854215447,0.11655375159286664,0.06188292788510049,0.09521172829381737,0.012997023125715011,-0.0062444924327058286,0.05082687672710308,0.025504121682695776,0.0417414049714399,0.03206057612321862,0.046002333632059945,-0.0010553643193730083
hcfc1,0.05063590974572869,0.0511521005010533,0.010944021699100857,0.004206916297629102,1.0,0.05118920404196382,0.04977020446760272,-0.0007915657687549085,0.0007869869850739454,0.04746016720915879,0.06900154709261637,0.03215200143379104,-0.007884426607769512,-0.0002879267677271445,0.011577025064197225,0.0318642920283589,0.022582058710392636,-0.013830211406397667,-0.009703483470965293,0.06092863577714265,-0.025474749357736234,0.03322138131228566,0.07211357017535773,0.021097360197684153,0.008004212021260051,0.039729296063550544,0.015558557708533144,0.03155364532022454,0.01710087390918263,-0.0024264836401920627,-0.0033951668247089693,0.01654525259178422,-0.0029293061373461067,0.0169865586848567,0.02171306461780973,0.021968603470496083,0.04981700571700837,0.004218629124989651,-0.013016467758071219,0.0014894019468028876,0.042410466694293346,0.053475756897045965,0.037112819423725386,0.05842609273303583,0.03830208302653452,-0.0237378228230701,-0.003594413191752378,-0.02093632238599526,0.033020321491989774,-0.012692679809152946,-0.0022096670166455016,0.011800025909975986,,-0.0008917791977169858,0.02857547043094939,0.028779162419725536,0.019335220029144545,0.001781590729290521,0.02361191086744018,0.017856346084921922,0.0205566804073452,0.004534785752921086,0.00312384576366908,0.01990717104637727,0.045779348637149345,0.009855372319406521,0.03357298571064961,-0.01879284621983943,0.07715942878669406,0.025087405409162537,-0.005575976532653036,0.04118551713655316,0.007808437329884466,0.03224156186982458,0.009974869804440307,0.033938838051743817,0.04011352726274022,-0.010347001212718015,0.007914171409177308,-0.0036870221570725146,0.04241131972274352,-0.00446023225259794,0.0023281919491780984,0.005084071408024446,0.03750703537385829,0.03779887009795511,-0.006031919676318643,0.03302753657524168,0.007488291889018277,0.054419288470716955,0.0064095360715682925,0.030435224680999934,0.005832127735117828,0.018138809714850653,0.021605096707048885,-0.014224225806609713,0.015628456639272943,0.0075488114470753775,0.007359616037381008,-0.0004714556604703731,0.01483816231142236,0.04777300393020383,0.052719037800015425,0.0201297251884567,0.015565196781504814,-0.002098756139363492,-0.008862368017999596,-0.00763905931834976,0.04415448667897894,-0.0034879324821836455,0.008822275564447571,0.035827106102853654,0.042719781716128884,0.021688854823203752,0.038925203620681824,0.004383950291946782,0.028995332841334383,0.053598104595578365,-0.0056586713400327325,0.0198520157918944,0.03562264440235566,0.013194082981575164,0.00999788899183128,0.05370462363295567,0.0009966967815072563,-0.014148713209327021,-0.04333594763920983,0.026392393467740704,0.026987963740090805,0.013137404704801939,0.041512271385944016,-0.03585833409405775,-0.0023055926368342476,-0.014994361067404377,0.057772586748522106,0.026773031691127477,0.007134038409176396,0.04009867418826151,0.026802432355174346,0.0024666254659816604
mef2c,0.08338367175351845,0.020813791122064496,0.030638309562574528,0.014295680162467933,0.05118920404196382,1.0,0.009216360741991676,0.02232826069360013,0.010361172758190321,0.021943742776671073,0.03656375801642145,0.05502719130648052,0.002248517303313964,0.034017406772837204,0.061443032826846655,-0.00427338019087775,0.023329079493471815,0.04024993948052718,-0.017503454297865328,-0.03917256399358264,-0.0108853812723823,0.0029160930862995346,0.013859971072095238,0.043348731413194994,0.01502077348627126,0.015613008312766269,0.04288708996052428,0.013180974141886985,0.019316849505634205,-0.014010251097663674,0.00948308892249876,-0.0062050575347906865,-0.01164738909069524,0.017593428628607046,0.041134096290826844,0.04844081914164186,0.023401757545916415,-0.010086016357203386,-0.011609249581878114,0.00686810915571028,0.07066040883165853,-0.06840032923607711,-0.08444113189597899,-0.0519299921286382,0.0684977731829419,-0.1078455029024543,-0.02546093561758493,-0.025285478308139275,-0.015457655545857691,0.0028158899828647243,0.09317080354763324,0.011138195706485143,,-0.01060938089202227,-0.028225381263103894,0.011199918654340498,-0.059630166824232604,0.04730113557726216,-0.04060019634333602,0.013561582703290366,0.04033220952965073,0.029173753736213146,0.019510383507742323,0.05607949741371001,0.009418831062938669,0.03168979392804305,-0.005254990173728509,-0.0037806234869884603,-0.018432741264023826,0.028591184072781144,-0.019240835188669116,-0.08615950589274073,0.0492185060761163,-0.01065066646459081,0.03240194025017327,0.004855377598197036,0.05764331681503836,-0.0017787881335582603,0.011509126428229677,0.02127727579751537,-0.050754675428577166,0.001064863423027976,0.007088871689702171,0.014286662420141856,-0.0043544059195697316,0.02039206834352519,0.011148362863465421,0.05301205056100048,0.017938955761938977,0.05377858871305013,-0.02281367975820622,-0.007922928450603687,0.02323394298963358,-0.00043321515089433243,-0.0751902636772132,0.01762636382707484,0.0026437818742920827,-0.018529978670896778,-0.010521587609178353,-0.019995729450017034,-0.033500689904245144,-0.005793183418742967,0.03793265673595093,0.025518352007811176,0.019864938422688026,0.005901395874368596,-0.01381028069433153,-0.013778732999295966,0.025287457351948386,-0.04220914696104079,-0.025681937025867355,0.01747067320212145,0.0238524257115094,0.00013167427928737407,-0.022042876309458437,-0.0036972657146999684,-0.02067359924364817,0.029517444717588513,0.00719607345789364,-0.01491738698234133,-0.032055160752754434,0.003737879256110408,0.001806314502804225,-0.003096132789549304,0.02905117064096076,-0.01580063029115502,-0.04825450233703199,0.013918176585140862,-0.001696551140187124,0.028064106209897067,-0.008068352913679543,-0.04091172349438136,-0.011688161771632264,0.0022690401646793703,0.15710554314426084,0.006881869388575814,0.03944590289390161,0.019663967288681364,0.021211408961414338,-0.027846426790465
ikzf1,-0.014989509290984466,0.019535038069676252,0.024756259050848033,0.048646670378735865,0.04977020446760271,0.009216360741991676,0.9999999999999998,0.02781074426153737,0.03314701007847576,0.019528733170400835,0.02461353188111161,0.004810073563641653,0.02104349557329709,0.01740319994725006,0.031491139584954204,0.006364193232058871,0.0037333181417706393,-0.019303031352482018,0.012464024823120042,0.03655027955905165,0.0711836590883225,-0.004010792345781303,0.031005532534829506,-0.0021104008860862874,-0.012029990828900633,0.025605784437719076,0.040150193169327233,0.028330426688894093,-0.004272745033364996,0.042666500415488605,0.018413000330904733,0.03562361492806994,0.015897392731427058,0.006626224392135723,0.015004637554518512,0.012130656993406042,0.027763608434712723,-0.013645575897846728,-0.01293256407353352,0.023072970004078736,0.05028973254827842,0.05594980937310878,0.026755709126217542,0.04152231550988741,-0.021645940991321094,0.03363629492148075,0.022223565278670167,0.02484809808823196,0.05253154304033047,0.032805234404170526,0.002948048453385466,0.020870520648330518,,-0.004864145415016381,0.05288321280162758,2.6119262494817957e-05,0.022027377427623014,-0.013193454548393881,0.046317583790722185,0.0019294293472169814,0.04166512701094429,-0.00593158689604645,0.006806014690060877,0.017865855625876347,0.03128424527078417,0.015878392036778575,0.015661101082555536,0.008165203835092831,0.054051815431390794,0.016870114005318317,0.00686448896070144,0.007201972897587607,0.005090545221461879,-0.0039598111667576074,0.007013347167840372,0.033186273673309494,0.021565690698358796,0.008813266594220269,0.023087265430735904,-0.01353820197828483,0.044193118084450374,0.007640413744274725,-0.005213003903728346,-0.007282924745141831,-0.006451487296071081,0.03204322251308093,0.025112109844870844,-0.0012796952098579355,0.015277933361127875,0.005327703818085381,0.025074302362150795,0.04226718107034029,0.011407505670235013,0.041024670664524504,0.06515191583802739,0.007853131938153173,0.005935115464077869,0.022749677213866355,-0.009675913637678831,-0.0015323203480759066,0.01636177462407009,0.0031060375630327,0.010994986007993856,0.007014891882829383,-0.020944116343134252,0.03268541422335519,-0.00032357043981477533,0.0022195131200678005,0.04151501189162687,0.03355696567769837,0.035601779963261554,0.0231301141054773,0.028334841796456112,0.004344873076569827,0.04036171056698647,-0.006645278620986547,0.07374346364361077,0.02417657137470392,0.006194023074754211,0.046162479146576486,0.029431315567229204,0.011055562498462101,0.030377135844623766,0.06433963569757345,-0.0019055030200469303,-0.004850137251521502,0.032316845940018504,0.03600109833053436,0.05242474829163464,0.012888126265177404,0.023891787460278393,0.037253654820289,0.034925861452847116,0.011766722641446644,0.04553582662421346,0.010344385061918168,0.0012090260307814856,0.010780861481964416,0.05528759000437366,0.021594058464586608
jun,-0.047677543021314904,0.021250124399954707,-0.004941258622860588,0.09032576536739714,-0.0007915657687549084,0.022328260693600135,0.02781074426153737,1.0,0.044246313840140473,-0.022097908166523395,0.007889374688354454,0.04296961290237468,0.007304180649629244,0.08981384569726496,0.02127796090799123,0.01966613308562612,0.03377828316683073,0.017398293785324773,-0.1403504979388938,-0.001568184713139675,-0.01604486628131141,-0.0022167138895741426,0.007054965445919901,-0.00791355667644216,0.018498141282523067,-0.016098551820899164,0.148788688701601,0.02685569310058275,0.00842759491781245,0.05459449583107331,0.011210546022508053,0.0636026436885213,0.03139527096497231,0.05411561724813638,-0.005206346626758763,0.010146772195109153,0.08039767857001363,-0.00943974309966507,0.055311390106141625,0.08844278993450368,0.01750977159796448,0.027837105802765952,0.05262474325801239,0.029114494363418925,-0.021775914085869742,0.08696323927344476,0.0739090736248935,0.14790338897334684,0.05986763748405306,0.005951701517216603,0.1402872738133981,-0.006092001772648523,,0.05606857598368107,0.02211748620217593,0.0003989531274793443,0.18715401003814977,-0.019279695608503802,0.07859926316856615,-0.031562140333643164,0.0434469591056297,0.005076473841900384,-0.0017897113085010585,-0.0020817903362408286,0.050464151862781255,-0.021121406044277168,0.03404287918141445,0.06962079816922732,0.06511920833947206,0.06275535032200831,-0.02212087771477877,0.03287475573015068,0.008358630462267544,-0.07817250816700147,-0.01635905158837599,0.026260647374987088,0.02982042999507419,0.015741205150481212,-0.05224603192462204,-0.07937888783396414,0.06870777806804598,0.00648042431044634,-0.004027054461491132,0.0018227397937595786,-0.0048231124135705355,0.03415761210392545,0.06607087366274259,0.010261909184106585,-0.01236628419566698,0.0016561512491073938,0.06623401308094093,0.012007110643434862,0.14080666629666508,0.09264354468326938,0.08151759263170692,0.06156985151920769,0.016786064017347602,0.15212990904907053,0.01248569233929154,0.1120496178666801,0.07757781443094972,-0.01707777665146432,0.03325492294112822,0.007246086468872211,-0.017117108385253713,0.05406378336159957,0.009295485545606103,0.0102621965217492,-0.0010498710529876318,0.03483731238936942,0.049207031269687354,0.09525195796116419,0.0737504019126658,0.043476915981835625,-0.01175649794214633,0.015178869015120876,0.04751554218228368,0.030461517106861284,0.01990653659353962,-0.02746533852141977,-0.014641493979880337,0.024767445334551504,0.011227327296486489,0.01477095498040432,-0.000947376854287638,-0.009412947567619189,0.05900785427985106,0.00319566892532205,0.035040535642600075,0.19653331160584503,0.09779290483981876,0.12523820295237215,0.052269906748105575,-0.019572410773976194,0.07539046332122817,0.0102122903374883,0.0612179271388527,0.010483447831281436,0.028056255561798495,-0.017290376804625113
irf1,-0.0001513888534618308,0.02709757256006693,-0.0003779068132804686,0.037931165227558336,0.0007869869850739453,0.010361172758190321,0.03314701007847576,0.044246313840140473,1.0,-0.0320185396084544,-0.008650711095892938,0.005513114783171106,-0.0013272946181794058,0.0001526869018375268,-0.0026921824998869005,0.036020431829147874,0.02240082866425342,-0.007097880840123506,-0.054771117714086576,-0.010427923026957218,0.021575388778512877,0.009161363133261685,-0.005754714398168376,0.000915489736101833,0.030803391895793782,0.003613788760688899,0.023199169674681278,-0.009972583993439988,0.033674889496687725,0.016428680575560614,-0.005017588685899517,0.03014673777983694,0.026541526166084572,0.013611960697425018,0.02885517921984278,-0.012954460381038636,0.04966852969451902,-0.005017588685899517,-0.010454461953333235,0.038904664172997296,0.0012535767630446138,0.018578687565880596,0.031704249121337874,0.032270345802102654,-0.021979147429847266,0.013840118822982635,0.016143833417175582,0.037593198020395444,0.04440672222183452,-0.0017953065777766447,0.053895813085911445,-0.010935044343417657,,-0.005554481455020963,-0.007991173204363891,0.015459047290213294,0.045418762262804405,-0.005467528135982318,0.008564379097878843,0.018953340666410516,0.022624558173009783,0.001042557457469807,-0.011416541608194756,-0.0140647637335095,-0.0046584884274144065,0.0017186320668448139,0.027125218254102617,0.023336172875429828,0.007623448678263787,0.04564944110410564,0.0021145248116716028,0.024470002595570473,0.03894300269921128,-0.004675473331211556,-0.008695468859189,0.0026399766267160927,-0.004402839658822385,0.009260816830799731,0.011133800846105067,-0.026795764386998766,0.014837479259680382,-0.0023379163767204354,-0.0011696823727717868,-0.005306703013263417,0.014662896097219397,0.010310875358677592,0.03204936684653385,0.007992786754416593,0.026628281922478694,0.014998394543495133,0.017308204453572038,0.002391591000689175,0.03969143843158768,0.02665197102272957,0.026227378385030847,0.048517114681449605,0.027933610993227827,0.044070147166929814,0.016677245090827686,0.01182942225284128,0.0320555433034838,0.006301679022649399,0.030328167781133928,0.02421413059472199,-0.013778416852639488,0.008685541154783184,-0.014513595926494304,-0.011343214485891527,0.019849563456628666,0.011897428747659141,-0.0012440872622380302,0.05954093256161085,0.0042134428291338765,0.016685420415078617,0.009237372638468638,-0.013850584687334466,0.03755848773578482,0.05359534827086302,0.025684578300737917,-0.015776237951646795,0.0008997728107655522,0.009522885585817218,-0.0007344277650422756,0.008881767777709772,0.011146951392771885,0.01150844864570218,-0.0001981653156705997,0.003740271999991469,0.01025072542063925,0.06631319948420493,0.023306063094648975,0.079419128383036,0.011583582436896446,-0.0064049293668405755,0.036681659716608576,0.014508839760350082,0.03279172550338754,0.03360947252471984,0.010288502076766378,0.012524440772657176
myc,0.010562670181433456,0.045675256514539804,-0.02321858823294825,-0.007729451663714344,0.0474601672091588,0.021943742776671073,0.01952873317040084,-0.022097908166523395,-0.0320185396084544,1.0,0.07914985574277797,0.026409592405491695,0.019601397009903515,-0.012956804744864412,-0.025084390319268672,-0.0025539331579933484,0.012943321229067386,0.02750322110029369,-0.029550255284951137,0.12551686695791917,-0.029936225409477088,0.018051582271781195,0.07662535867571592,0.026608122369186506,-0.006044166954728579,0.056156364215457416,0.009868830127093045,0.020236154625824312,-0.02204670396548211,-0.025669834757077042,0.002338156146297452,0.005022588917351463,-0.0031896962671384968,-0.005746209106044603,0.01455456590046766,0.00901700945937743,-0.01682854454219052,-0.008478859404840219,-0.03955102972229241,-0.052336850849840626,0.04340439569284532,0.1274355074897868,0.07374921399449491,0.11337656222305248,-0.015672650682193128,0.026663046296456088,-0.015181521262678589,-0.09627308488617257,0.010535300806164672,-0.018208334667782457,-0.03562971484964247,-0.020712526394207082,,-0.007689256095838881,0.02651847556988182,-0.026026601854987227,0.04654376417886123,-0.0030730889269342805,0.07846397174939591,0.042272208244466404,0.026502161437599706,-0.014582790265684176,0.06785489776671325,-0.018384069936617464,0.08807737752234177,0.0055821742996512574,0.004017046712300491,-0.045946233509309244,0.13876623305002583,0.0009077202981797951,-0.004258986273964541,0.06302432830951263,0.025306816796809503,0.07281972470108417,0.0024016771789827527,0.025958244077102528,0.006819187986896434,0.023482452554889375,0.026945424399417425,-0.052277865145086595,0.08443557027701833,-0.019392347015231255,0.0008703321366637949,0.03288787291277987,0.03346989512518042,0.05050283479236193,0.009037796515200007,0.013702350342773272,0.015550154851997384,0.026419824281756495,-0.06261949469491337,0.016560109050136662,-0.050343148667497624,-0.003935458673232031,0.09318806289383089,-0.03349081465978369,0.05082791422049701,-0.04094935966183186,-0.0026381612075205237,-0.04966941048945365,0.012930403707784333,0.022693367984143797,0.06960296916309085,0.05324893338602081,0.013971190347801617,-0.006594402337489243,0.02510533381660477,0.013202849290801231,0.03410352512585114,0.015687387128233272,-0.0051133992251766,-0.003680213770334101,0.0107937527435965,0.040790995040261804,0.06581840489886227,0.02350559726403366,-0.01489165536303337,0.01816393600713169,0.011232139733990818,0.024179266012152496,0.052994322218709054,0.028738141085933994,0.00030859676708650273,0.06733340452069417,0.04022139181254054,-0.012827152726071565,-0.08210764738820851,0.00997771270160227,0.04605477222211597,-0.04643595190308289,0.048733863331079215,-0.030156893768810245,-0.009087176121453938,0.0070943798982564255,-0.04019267875644694,0.05334010665582157,0.005669600088154135,0.02636534574313144,0.040859193703389717,-0.01777739607014652
